video_name,roi_name,exploration_time,cm_to_pixel_ratio
233 (1),non-moved object,7.966666666666668,20.8262154507246
233 (1),moved object,7.9333333333333345,20.8262154507246
234 (1),non-moved object,38.766666666666666,19.45006426724601
234 (1),moved object,1.0999999999999999,19.45006426724601
235 (1),non-moved object,14.433333333333335,19.556392816672503
235 (1),moved object,20.4,19.556392816672503
236 (1),non-moved object,1.2999999999999998,20.950238662125063
236 (1),moved object,9.699999999999998,20.950238662125063
237 (1),non-moved object,2.6666666666666665,19.87514150893019
237 (1),moved object,21.433333333333334,19.87514150893019
238 (1),non-moved object,29.433333333333334,19.23773960214661
238 (1),moved object,5.366666666666669,19.23773960214661
239 (1),non-moved object,8.433333333333334,20.775376049544807
239 (1),moved object,3.3333333333333335,20.775376049544807
