Video Name,Sex,Sleep,Cycle,Index
NOL_A1R_TEST_070324 (1),Female,SD,proestrus,0.632088520055325
Nol A1rl Test 070324,Female,SD,proestrus,0.7611940298507464
Nol A20 Test 110324,Female,NSD,proestrus,0.45512820512820507
Nol A2l Test 090324,Female,NSD,proestrus,0.4
Nol B1l Test 090324,Female,SD,proestrus,0.4462264150943396
Nol B1rl Test 090324,Female,SD,estrus,0.8385512584407613
Nol B20 Test 090324,Female,SD,proestrus,0.541371158392435
Nol B2r Test 090324,Female,SD,estrus,0.6146788990825688
Nol C1l Test 270324,Female,SD,proestrus,0.5639943741209564
Nol C1rl Test 270324,Female,SD,proestrus,0.5830324909747292
Nol C20 Test 270324,Female,NSD,proestrus,0.3391304347826087
Nol C2r Test 270324,Female,NSD,estrus,0.5460122699386504
Nol D1r Test 110324,Female,NSD,proestrus,0.7764227642276422
Nol D1rl Test 270324,Female,NSD,estrus,0.5373443983402489
Nol D20 Test 120324,Female,NSD,estrus,0.5518433179723502
Nol D2l Test 120324,Female,NSD,estrus,0.24532224532224534
Nol E1l Test 100424,Female,NSD,estrus,0.051010587102983646
Nol E1rl Test 100424,Female,NSD,proestrus,0.17354497354497356
Nol E20 Test 270324,Female,NSD,proestrus,0.4737732656514382
Nol F1r Test 270324,Female,SD,proestrus,0.36363636363636365
Nol F1rl Test 270324,Female,SD,proestrus,0.5450421257290992
Nol F20 Test 100424,Female,SD,estrus,0.6212952799121845
Nol F2l Test 100424,Female,SD,estrus,0.22265624999999997
Nol G1l Test 010324,Male,SD,.,0.5111607142857142
Nol G1rl Test 010324,Male,SD,.,0.27133479212253825
Nol G20 Test 010324,Male,NSD,.,0.6872828353022933
Nol G2r Test 010324,Male,NSD,..,0.34915254237288135
Nol H1r Test 010324,Male,SD,.,0.43351548269581053
Nol H1rl Test 010324,Male,SD,.,0.4722617354196302
Nol H20 Test 010324,Male,NSD,.,0.5826771653543307
Nol H2l Test 010324,Male,NSD,.,0.3870967741935484
Nol I1l Test 010324,Male,SD,.,0.4767857142857143
Nol I1rl Test 010324,Male,SD,.,0.5027777777777778
Nol I20 Test 010324,Male,NSD,.,0.13675859463543633
Nol I2r Test 010324,Male,NSD,.,0.6511627906976745
Nol X0 Test 110724,Male,SD,.,0.36363636363636365
Nol Xl Test 110724,Male,SD,.,0.7169082125603865
Nol Xr Test 110724,Male,SD,.,0.7774979009235936
Nol Y0 Test 110724,Male,NSD,.,0.8820224719101124
Nol Yl Test 110724,Male,NSD,.,0.6099173553719008
Nol Yr Test 110724,Male,NSD,.,0.796976241900648
Nol Z10 Test 110724,Male,SD,.,0.3433155080213904
Nol Z1r Test 110724,Male,SD,.,0.46768893756845564
Nol Z20 Test 110724,Male,NSD,.,0.5421822272215973
Nol Z2r Test 110724,Male,NSD,.,0.6356033452807646
