Video Name,Sex,Sleep,Cycle,Index
Nol A20 Test 110324,Female,NSD,proestrus,0.38482758620689655
Nol A2l Test 090324,Female,NSD,proestrus,0.31130573248407645
Nol C20 Test 270324,Female,NSD,proestrus,0.3037037037037037
Nol C2r Test 270324,Female,NSD,estrus,0.7358490566037736
Nol D1r Test 110324,Female,NSD,proestrus,0.5536723163841808
Nol D1rl Test 270324,Female,NSD,estrus,0.04947460595446585
Nol D20 Test 120324,Female,NSD,estrus,0.30660377358490565
Nol D2l Test 120324,Female,NSD,estrus,0.368421052631579
Nol E1l Test 100424,Female,NSD,estrus,0.0
Nol E1rl Test 100424,Female,NSD,proestrus,0.9237738206810372
Nol E20 Test 270324,Female,NSD,proestrus,0.7835051546391754
Nol G20 Test 010324,Male,NSD,.,0.4792899408284024
Nol G2r Test 010324,Male,NSD,.,0.554696132596685
Nol H20 Test 010324,Male,NSD,.,0.09545268332650554
Nol H2l Test 010324,Male,NSD,.,0.47639484978540775
Nol I20 Test 010324,Male,NSD,.,0.8253250423968345
Nol I2r Test 010324,Male,NSD,.,0.03916272788656313
Nol Y0 Test 110724,Male,NSD,.,0.27331887201735355
Nol Yl Test 110724,Male,NSD,.,0.32352941176470584
Nol Yr Test 110724,Male,NSD,.,0.9265799256505576
Nol Z20 Test 110724,Male,NSD,.,0.7312859884836852
Nol Z2r Test 110724,Male,NSD,.,0.930813953488372
