Video Name,Sex,Sleep,Cycle,Index
Nol A1rl Test 070324,Female,SD,proestrus,0.06754772393538915
Nol A20 Test 110324,Female,NSD,proestrus,0.38482758620689655
Nol A2l Test 090324,Female,NSD,proestrus,0.31130573248407645
Nol B1l Test 090324,Female,SD,proestrus,0.9410041023637429
Nol B1rl Test 090324,Female,SD,estrus,0.4444444444444445
Nol B20 Test 090324,Female,SD,proestrus,0.7616541353383459
Nol B2r Test 090324,Female,SD,estrus,0.44579945799458
Nol C1l Test 270324,Female,SD,proestrus,0.0943847072879331
Nol C1rl Test 270324,Female,SD,proestrus,0.7521944632005402
Nol C20 Test 270324,Female,NSD,proestrus,0.3037037037037037
Nol C2r Test 270324,Female,NSD,estrus,0.7358490566037736
Nol D1r Test 110324,Female,NSD,proestrus,0.5536723163841808
Nol D1rl Test 270324,Female,NSD,estrus,0.04947460595446585
Nol D20 Test 120324,Female,NSD,estrus,0.30660377358490565
Nol D2l Test 120324,Female,NSD,estrus,0.368421052631579
Nol E1l Test 100424,Female,NSD,estrus,0.0
Nol E1rl Test 100424,Female,NSD,proestrus,0.9237738206810372
Nol E20 Test 270324,Female,NSD,proestrus,0.7835051546391754
Nol F1r Test 270324,Female,SD,proestrus,0.11780313080392679
Nol F1rl Test 270324,Female,SD,proestrus,0.5580357142857142
Nol F20 Test 100424,Female,SD,estrus,0.6551724137931034
Nol F2l Test 100424,Female,SD,estrus,0.2506393861892583
Nol G1l Test 010324,Male,SD,.,0.25698757763975155
Nol G1rl Test 010324,Male,SD,.,0.8415335463258786
Nol G20 Test 010324,Male,NSD,.,0.4792899408284024
Nol G2r Test 010324,Male,NSD,..,0.554696132596685
Nol H1r Test 010324,Male,SD,.,0.3801652892561983
Nol H1rl Test 010324,Male,SD,.,0.6683168316831684
Nol H20 Test 010324,Male,NSD,.,0.09545268332650554
Nol H2l Test 010324,Male,NSD,.,0.47639484978540775
Nol I1l Test 010324,Male,SD,.,0.47815820543093274
Nol I1rl Test 010324,Male,SD,.,0.734192037470726
Nol I20 Test 010324,Male,NSD,.,0.8253250423968345
Nol I2r Test 010324,Male,NSD,.,0.03916272788656313
Nol X0 Test 110724,Male,SD,.,0.48908296943231444
Nol Xl Test 110724,Male,SD,.,0.4424083769633508
Nol Xr Test 110724,Male,SD,.,0.5508130081300813
Nol Y0 Test 110724,Male,NSD,.,0.27331887201735355
Nol Yl Test 110724,Male,NSD,.,0.32352941176470584
Nol Yr Test 110724,Male,NSD,.,0.9265799256505576
Nol Z10 Test 110724,Male,SD,.,0.41433021806853587
Nol Z1r Test 110724,Male,SD,.,0.47123893805309736
Nol Z20 Test 110724,Male,NSD,.,0.7312859884836852
Nol Z2r Test 110724,Male,NSD,.,0.930813953488372
