video_name,roi_name,exploration_time,cm_to_pixel_ratio
233 (1),non-moved object,8.76,20.8262154507246
233 (1),moved object,7.76,20.8262154507246
234 (1),non-moved object,5.52,19.45006426724601
234 (1),moved object,1.32,19.45006426724601
235 (1),non-moved object,17.32,19.556392816672503
235 (1),moved object,24.4,19.556392816672503
236 (1),non-moved object,1.56,20.950238662125063
236 (1),moved object,11.64,20.950238662125063
237 (1),non-moved object,3.2,19.87514150893019
237 (1),moved object,24.72,19.87514150893019
238 (1),non-moved object,35.32,19.23773960214661
238 (1),moved object,6.2,19.23773960214661
239 (1),non-moved object,9.44,20.775376049544807
239 (1),moved object,4.0,20.775376049544807
