video_name,roi_name,exploration_time,cm_to_pixel_ratio
233 (1),non-moved object,14.43333333333333,19.45006426724601
233 (1),moved object,7.400000000000001,19.45006426724601
234 (1),non-moved object,38.9,19.556392816672503
234 (1),moved object,1.7666666666666666,19.556392816672503
235 (1),non-moved object,14.500000000000002,20.950238662125063
235 (1),moved object,23.766666666666666,20.950238662125063
236 (1),non-moved object,1.1333333333333333,19.87514150893019
236 (1),moved object,9.566666666666665,19.87514150893019
237 (1),non-moved object,2.9666666666666663,19.23773960214661
237 (1),moved object,22.233333333333338,19.23773960214661
238 (1),non-moved object,29.433333333333334,20.775376049544807
238 (1),moved object,6.233333333333335,20.775376049544807
