video_name,roi_name,exploration_time_raw,cm_to_pixel_ratio
Nol A1rl Test 070324,object_B,7.68,1.931.180.014.913.160
Nol A1rl Test 070324,object_A,24.48,1.931.180.014.913.160
Nol A2 Test 110324,object_B,5.68,2.090.095.691.589.260
Nol A2 Test 110324,object_A,6.8,2.090.095.691.589.260
Nol A2l Test 090324,object_B,28.08,19.744.397.939.668.800
Nol A2l Test 090324,object_A,18.72,19.744.397.939.668.800
Nol B1l Test 090324,object_B,23.48,1.910.104.709.171.720
Nol B1l Test 090324,object_A,18.92,1.910.104.709.171.720
Nol B1rl Test 090324,object_B,54.64,196.195.215.283.146
Nol B1rl Test 090324,object_A,10.52,196.195.215.283.146
Nol B20 Test 090324,object_B,18.32,2.065.006.053.259.890
Nol B20 Test 090324,object_A,15.52,2.065.006.053.259.890
Nol B2r Test 090324,object_B,18.48,19.300.793.377.475.400
Nol B2r Test 090324,object_A,29.48,19.300.793.377.475.400
Nol C1l Test 270324,object_B,12.4,1.915.132.175.595.190
Nol C1l Test 270324,object_A,16.04,1.915.132.175.595.190
Nol C1rl Test 270324,object_B,12.92,2.063.046.897.188.710
Nol C1rl Test 270324,object_A,9.24,2.063.046.897.188.710
Nol C20 Test 270324,object_B,9.36,19.903.077.651.458.800
Nol C20 Test 270324,object_A,18.24,19.903.077.651.458.800
Nol C2r Test 270324,object_B,5.92,1.985.568.243.601.810
Nol C2r Test 270324,object_A,7.12,1.985.568.243.601.810
Nol D1r Test 110324,object_B,7.64,2.117.505.903.179.490
Nol D1r Test 110324,object_A,2.2,2.117.505.903.179.490
Nol D1rl Test 270324,object_B,10.36,2.013.096.184.984.710
Nol D1rl Test 270324,object_A,8.92,2.013.096.184.984.710
Nol D20 Test 120324,object_B,19.16,19.202.343.606.966.300
Nol D20 Test 120324,object_A,15.56,19.202.343.606.966.300
Nol D2l Test 120324,object_B,4.72,1.971.427.148.032.610
Nol D2l Test 120324,object_A,14.52,1.971.427.148.032.610
Nol E1l Test 100424,object_B,2.12,19.567.399.546.183.900
Nol E1l Test 100424,object_A,39.44,19.567.399.546.183.900
Nol E1rl Test 100424,object_B,124.96,19.658.411.049.726.200
Nol E1rl Test 100424,object_A,26.24,19.658.411.049.726.200
Nol E20 Test 270324,object_B,11.2,20.700.739.721.082.400
Nol E20 Test 270324,object_A,12.44,20.700.739.721.082.400
Nol F1r Test 270324,object_B,13.16,20.875
Nol F1r Test 270324,object_A,7.52,20.875
Nol F1rl Test 270324,object_B,33.64,1.920.275.045.403.650
Nol F1rl Test 270324,object_A,28.08,1.920.275.045.403.650
Nol F20 Test 100424,object_B,22.64,2.080.486.721.899.460
Nol F20 Test 100424,object_A,13.8,2.080.486.721.899.460
Nol F2l Test 100424,object_B,4.56,1.932.603.490.113.780
Nol F2l Test 100424,object_A,15.92,1.932.603.490.113.780
Nol G1l Test 010324,object_B,27.48,20.950.730.894.171.600
Nol G1l Test 010324,object_A,26.28,20.950.730.894.171.600
Nol G1rl Test 010324,object_B,4.96,1.980.631.212.517.860
Nol G1rl Test 010324,object_A,13.32,1.980.631.212.517.860
Nol G20 Test 010324,object_B,18.0,1.888.036.347.637.400
Nol G20 Test 010324,object_A,39.56,1.888.036.347.637.400
Nol G2r Test 010324,object_B,8.24,19.641.298.964.172.400
Nol G2r Test 010324,object_A,15.36,19.641.298.964.172.400
Nol H1r Test 010324,object_B,12.44,20.925.134.408.170.400
Nol H1r Test 010324,object_A,9.52,20.925.134.408.170.400
Nol H1rl Test 010324,object_B,13.28,19.794.348.941.048.800
Nol H1rl Test 010324,object_A,14.84,19.794.348.941.048.800
Nol H20 Test 010324,object_B,8.48,18.850.414.451.677.100
Nol H20 Test 010324,object_A,11.84,18.850.414.451.677.100
Nol H2l Test 010324,object_B,13.92,1.988.067.529.034.160
Nol H2l Test 010324,object_A,22.04,1.988.067.529.034.160
Nol I1l Test 010324,object_B,21.36,1.892.501.651.254.230
Nol I1l Test 010324,object_A,23.44,1.892.501.651.254.230
Nol I1rl Test 010324,object_B,14.48,208.250.600.239.231
Nol I1rl Test 010324,object_A,14.32,208.250.600.239.231
Nol I20 Test 010324,object_B,91.4,2.095.149.159.367.890
Nol I20 Test 010324,object_A,14.48,2.095.149.159.367.890
Nol I2r Test 010324,object_B,8.4,191.510.443.579.456
Nol I2r Test 010324,object_A,15.68,191.510.443.579.456
Nol X0 Test 110724,object_B,7.2,19.753.559.805.766.600
Nol X0 Test 110724,object_A,12.6,19.753.559.805.766.600
Nol Xl Test 110724,object_B,29.68,19.429.117.967.627.800
Nol Xl Test 110724,object_A,11.72,19.429.117.967.627.800
Nol Xr Test 110724,object_B,10.6,19.377.322.441.452.000
Nol Xr Test 110724,object_A,37.04,19.377.322.441.452.000
Nol Y0 Test 110724,object_B,9.24,1.991.119.345.996.110
Nol Y0 Test 110724,object_A,69.08,1.991.119.345.996.110
Nol Yl Test 110724,object_B,14.76,1.937.540.322.161.060
Nol Yl Test 110724,object_A,9.44,1.937.540.322.161.060
Nol Yr Test 110724,object_B,15.04,19.401.610.757.872.600
Nol Yr Test 110724,object_A,59.04,19.401.610.757.872.600
Nol Z10 Test 110724,object_B,12.84,1.978.011.943.846.640
Nol Z10 Test 110724,object_A,24.56,1.978.011.943.846.640
Nol Z1r Test 110724,object_B,19.44,1.885.288.439.470.200
Nol Z1r Test 110724,object_A,17.08,1.885.288.439.470.200
Nol Z20 Test 110724,object_B,16.28,1.987.627.354.410.270
Nol Z20 Test 110724,object_A,19.28,1.987.627.354.410.270
Nol Z2r Test 110724,object_B,12.2,18.802.958.543.803.600
Nol Z2r Test 110724,object_A,21.28,18.802.958.543.803.600
NOL_A1R_TEST_070324 (1),object_B,18.28,2.100.001.488.094.710
NOL_A1R_TEST_070324 (1),object_A,10.64,2.100.001.488.094.710
