Video Name,ROI Name,Exploration Time (s),cm_to_pixel_ratio
Nol A1rl Test 070324,object A,7.36,19.436724261047694
Nol A1rl Test 070324,object B,101.6,19.436724261047694
Nol A2 Test 110324,object A,11.16,21.0005357074528
Nol A2 Test 110324,object B,17.84,21.0005357074528
Nol A2l Test 090324,object A,15.64,19.894251682332765
Nol A2l Test 090324,object B,34.6,19.894251682332765
Nol B1l Test 090324,object A,192.68,19.25525902188802
Nol B1l Test 090324,object B,12.08,19.25525902188802
Nol B1rl Test 090324,object A,7.04,20.000015624993896
Nol B1rl Test 090324,object B,8.8,20.000015624993896
Nol B20 Test 090324,object A,40.52,21.000059523725163
Nol B20 Test 090324,object B,12.68,21.000059523725163
Nol B2r Test 090324,object A,13.16,19.201041638411183
Nol B2r Test 090324,object B,16.36,19.201041638411183
Nol C1l Test 270324,object A,9.48,19.376612836097024
Nol C1l Test 270324,object B,90.96,19.376612836097024
Nol C1rl Test 270324,object A,44.56,20.854855549727503
Nol C1rl Test 270324,object B,14.68,20.854855549727503
Nol C20 Test 270324,object A,6.56,19.81718004661612
Nol C20 Test 270324,object B,15.04,19.81718004661612
Nol C2r Test 270324,object A,9.36,19.85266040106464
Nol C2r Test 270324,object B,3.36,19.85266040106464
Nol D1r Test 110324,object A,3.92,21.02572828702968
Nol D1r Test 110324,object B,3.16,21.02572828702968
Nol D1rl Test 270324,object A,4.52,19.746202166492672
Nol D1rl Test 270324,object B,86.83999999999999,19.746202166492672
Nol D20 Test 120324,object A,7.8,19.37772561473611
Nol D20 Test 120324,object B,17.64,19.37772561473611
Nol D2l Test 120324,object A,18.48,19.799021440465182
Nol D2l Test 120324,object B,31.68,19.799021440465182
Nol E1l Test 100424,object A,0.0,19.821594915646923
Nol E1l Test 100424,object B,0.0,19.821594915646923
Nol E1rl Test 100424,object A,118.28,19.908305427634968
Nol E1rl Test 100424,object B,9.76,19.908305427634968
Nol E20 Test 270324,object A,51.68,20.92715042713652
Nol E20 Test 270324,object B,14.28,20.92715042713652
Nol F1r Test 270324,object A,17.76,21.000059523725163
Nol F1r Test 270324,object B,133.0,21.000059523725163
Nol F1rl Test 270324,object A,5.0,19.32816920973117
Nol F1rl Test 270324,object B,3.96,19.32816920973117
Nol F20 Test 100424,object A,12.16,21.053339996304626
Nol F20 Test 100424,object B,6.4,21.053339996304626
Nol F2l Test 100424,object A,3.92,19.400789288067635
Nol F2l Test 100424,object B,11.72,19.400789288067635
Nol G1l Test 010324,object A,13.24,21.050059382339043
Nol G1l Test 010324,object B,38.28,21.050059382339043
Nol G1rl Test 010324,object A,52.68,19.823991147092453
Nol G1rl Test 010324,object B,9.92,19.823991147092453
Nol G20 Test 010324,object A,6.48,19.401304724167392
Nol G20 Test 010324,object B,7.04,19.401304724167392
Nol G2r Test 010324,object A,20.08,19.85412425668783
Nol G2r Test 010324,object B,16.12,19.85412425668783
Nol H1r Test 010324,object A,5.52,21.00095235935742
Nol H1r Test 010324,object B,9.0,21.00095235935742
Nol H1rl Test 010324,object A,16.2,19.86281072758838
Nol H1rl Test 010324,object B,8.04,19.86281072758838
Nol H20 Test 010324,object A,9.32,19.35161491969081
Nol H20 Test 010324,object B,88.32,19.35161491969081
Nol H2l Test 010324,object A,17.76,19.84430018922309
Nol H2l Test 010324,object B,19.52,19.84430018922309
Nol I1l Test 010324,object A,16.2,19.403624017177822
Nol I1l Test 010324,object B,17.68,19.403624017177822
Nol I1rl Test 010324,object A,100.32,20.97595349441832
Nol I1rl Test 010324,object B,36.32,20.97595349441832
Nol I20 Test 010324,object A,58.4,20.92649337562316
Nol I20 Test 010324,object B,12.36,20.92649337562316
Nol I2r Test 010324,object A,6.96,19.47771162123518
Nol I2r Test 010324,object B,170.76,19.47771162123518
Nol X0 Test 110724,object A,13.44,19.87808152211878
Nol X0 Test 110724,object B,14.04,19.87808152211878
Nol Xl Test 110724,object A,6.76,19.65574025571156
Nol Xl Test 110724,object B,8.52,19.65574025571156
Nol Xr Test 110724,object A,10.84,19.09392900898084
Nol Xr Test 110724,object B,8.84,19.09392900898084
Nol Y0 Test 110724,object A,5.04,19.95961547725808
Nol Y0 Test 110724,object B,13.4,19.95961547725808
Nol Yl Test 110724,object A,1.76,19.227746877884577
Nol Yl Test 110724,object B,3.68,19.227746877884577
Nol Yr Test 110724,object A,79.76,19.08523644076751
Nol Yr Test 110724,object B,6.32,19.08523644076751
Nol Z10 Test 110724,object A,5.32,19.90453779920549
Nol Z10 Test 110724,object B,7.52,19.90453779920549
Nol Z1r Test 110724,object A,8.52,19.07493446908796
Nol Z1r Test 110724,object B,9.56,19.07493446908796
Nol Z20 Test 110724,object A,15.24,19.85190482044481
Nol Z20 Test 110724,object B,5.6,19.85190482044481
Nol Z2r Test 110724,object A,64.04,19.099901832208456
Nol Z2r Test 110724,object B,4.76,19.099901832208456
