Video Name,Sex,Sleep,Cycle,Index
Nol A20 Test 110324,Female,NSD,proestrus,0.455128205128205
Nol A2l Test 090324,Female,NSD,proestrus,0.4
Nol C20 Test 270324,Female,NSD,proestrus,0.3391304347826087
Nol C2r Test 270324,Female,NSD,estrus,0.5460122699386504
Nol D1r Test 110324,Female,NSD,proestrus,0.7764227642276422
Nol D1rl Test 270324,Female,NSD,estrus,0.5373443983402489
Nol D20 Test 120324,Female,NSD,estrus,0.5518433179723502
Nol D2l Test 120324,Female,NSD,estrus,0.2453222453222453
Nol E1l Test 100424,Female,NSD,estrus,0.0510105871029836
Nol E1rl Test 100424,Female,NSD,proestrus,0.1735449735449735
Nol E20 Test 270324,Female,NSD,proestrus,0.4737732656514382
Nol G20 Test 010324,Male,NSD,.,0.6872828353022933
Nol G2r Test 010324,Male,NSD,..,0.3491525423728813
Nol H20 Test 010324,Male,NSD,.,0.5826771653543307
Nol H2l Test 010324,Male,NSD,.,0.3870967741935484
Nol I20 Test 010324,Male,NSD,.,0.1367585946354363
Nol I2r Test 010324,Male,NSD,.,0.6511627906976745
Nol Y0 Test 110724,Male,NSD,.,0.8820224719101124
Nol Yl Test 110724,Male,NSD,.,0.6099173553719008
Nol Yr Test 110724,Male,NSD,.,0.796976241900648
Nol Z20 Test 110724,Male,NSD,.,0.5421822272215973
Nol Z2r Test 110724,Male,NSD,.,0.6356033452807646
