Sex,Mouse,Group_SD,cycle,student
Female,A1R,SD,proestrus,Nika
Female,A1RL,SD,proestrus,Nika
Female,A2L,NSD,proestrus,both
Female,A20,NSD,proestrus,both
Female,B1L,SD,proestrus,Nika
Female,B1RL,SD,estrus,Nika
Female,B2R,SD,estrus,Nika
Female,B20,SD,proestrus,Nika
Female,C1RL,SD,proestrus,Nika
Female,C1L,SD,proestrus,Nika
Female,C20,NSD,proestrus,both
Female,C2R,NSD,estrus*,both
Female,D1RL,NSD,estrus,both
Female,D1R,NSD,proestrus,both
Female,D20,NSD,estrus,both
Female,D2L,NSD,estrus,both
Female,E1L,NSD,estrus*,both
Female,E1RL,NSD,proestrus,both
Female,E2R,NSD,proestrus,both
Female,E20,NSD,proestrus,both
Female,F1RL,SD,proestrus,Nika
Female,F1R,SD,proestrus,Nika
Female,F20,SD,estrus,Nika
Female,F2L,SD,estrus,Nika
Male,G1L,SD,.,Nika
Male,G1RL,SD,.,Nika
Male,G2R,NSD,..,Nika
Male,G20,NSD,.,Nika
Male,H1R,SD,.,Nika
Male,H1RL,SD,.,Nika
Male,H2L,NSD,.,Nika
Male,H20,NSD,.,Nika
Male,I1L,SD,.,Nika
Male,I1RL,SD,.,Nika
Male,I2R,NSD,.,Nika
Male,I20,NSD,.,Nika
Female,J0,NSD,proestrus,both
Female,JR,NSD,proestrus,both
Female,K0,NSD,estrus,both
Female,KR,NSD,estrus,both
Female,L0,NSD,proestrus,both
Female,LR,NSD,proestrus,both
Female,M0,NSD,estrus,both
Female,MR,NSD,proestrus,both
Female,N0,NSD,proestrus,both
Female,NR,NSD,estrus,both
Female,O0,NSD,Proestrus *,both
Female,OR,NSD,estrus,both
Female,P0,SD,estrus*,Nika
Female,PR,SD,estrus*,Nika
Female,Q0,SD,E/D,Nika
Female,QR,SD,proestrus,Nika
Female,R0,NSD,proestrus,both
Female,RR,NSD,estrus,both
Female,S0,SD,Proestrus,Nika
Female,SR,SD,Proestrus,Nika
Female,T0,SD,estrus*,Nika
Female,TR,SD,estrus,Nika
Female,U0,SD,estrus,Nika
Female,UR,SD,estrus,Nika
Female,V0,SD,estrus,Nika
Female ,VR,SD,estrus,Nika
Female,W0,SD,Proestrus,Nika
Female,WR,SD,-,Nika
Male,X0,SD,.,Nika
Male,XR,SD,.,Nika
Male,XL,SD,.,Nika
Male,Y0,NSD,.,Nika
Male,YR,NSD,.,Nika
Male,YL,NSD,.,Nika
Male,Z10,SD,.,Nika
Male,Z1R,SD,.,Nika
Male,Z20,NSD,.,Nika
Male,Z2R,NSD,.,Nika
