video_name,roi_name,mapping
Nol A1rl Test 070324,object_B,non-moved
Nol A1rl Test 070324,object_A,moved
Nol A2 Test 110324,object_B,moved
Nol A2 Test 110324,object_A,non-moved
Nol A2l Test 090324,object_B,non-moved
Nol A2l Test 090324,object_A,moved
Nol B1l Test 090324,object_B,non-moved
Nol B1l Test 090324,object_A,moved
Nol B1rl Test 090324,object_B,moved
Nol B1rl Test 090324,object_A,non-moved
Nol B20 Test 090324,object_B,moved
Nol B20 Test 090324,object_A,non-moved
Nol B2r Test 090324,object_B,non-moved
Nol B2r Test 090324,object_A,moved
Nol C1l Test 270324,object_B,non-moved
Nol C1l Test 270324,object_A,moved
Nol C1rl Test 270324,object_B,moved
Nol C1rl Test 270324,object_A,non-moved
Nol C20 Test 270324,object_B,moved
Nol C20 Test 270324,object_A,non-moved
Nol C2r Test 270324,object_B,non-moved
Nol C2r Test 270324,object_A,moved
Nol D1r Test 110324,object_B,moved
Nol D1r Test 110324,object_A,non-moved
Nol D1rl Test 270324,object_B,moved
Nol D1rl Test 270324,object_A,non-moved
Nol D20 Test 120324,object_B,moved
Nol D20 Test 120324,object_A,non-moved
Nol D2l Test 120324,object_B,moved
Nol D2l Test 120324,object_A,non-moved
Nol E1l Test 100424,object_B,moved
Nol E1l Test 100424,object_A,non-moved
Nol E1rl Test 100424,object_B,non-moved
Nol E1rl Test 100424,object_A,moved
Nol E20 Test 270324,object_B,moved
Nol E20 Test 270324,object_A,non-moved
Nol F1r Test 270324,object_B,non-moved
Nol F1r Test 270324,object_A,moved
Nol F1rl Test 270324,object_B,moved
Nol F1rl Test 270324,object_A,non-moved
Nol F20 Test 100424,object_B,moved
Nol F20 Test 100424,object_A,non-moved
Nol F2l Test 100424,object_B,moved
Nol F2l Test 100424,object_A,non-moved
Nol G1l Test 010324,object_B,moved
Nol G1l Test 010324,object_A,non-moved
Nol G1rl Test 010324,object_B,moved
Nol G1rl Test 010324,object_A,non-moved
Nol G20 Test 010324,object_B,non-moved
Nol G20 Test 010324,object_A,moved
Nol G2r Test 010324,object_B,moved
Nol G2r Test 010324,object_A,non-moved
Nol H1r Test 010324,object_B,non-moved
Nol H1r Test 010324,object_A,moved
Nol H1rl Test 010324,object_B,moved
Nol H1rl Test 010324,object_A,non-moved
Nol H20 Test 010324,object_B,non-moved
Nol H20 Test 010324,object_A,moved
Nol H2l Test 010324,object_B,moved
Nol H2l Test 010324,object_A,non-moved
Nol I1l Test 010324,object_B,moved
Nol I1l Test 010324,object_A,non-moved
Nol I1rl Test 010324,object_B,moved
Nol I1rl Test 010324,object_A,non-moved
Nol I20 Test 010324,object_B,non-moved
Nol I20 Test 010324,object_A,moved
Nol I2r Test 010324,object_B,non-moved
Nol I2r Test 010324,object_A,moved
Nol X0 Test 110724,object_B,moved
Nol X0 Test 110724,object_A,non-moved
Nol Xl Test 110724,object_B,moved
Nol Xl Test 110724,object_A,non-moved
Nol Xr Test 110724,object_B,non-moved
Nol Xr Test 110724,object_A,moved
Nol Y0 Test 110724,object_B,non-moved
Nol Y0 Test 110724,object_A,moved
Nol Yl Test 110724,object_B,moved
Nol Yl Test 110724,object_A,non-moved
Nol Yr Test 110724,object_B,non-moved
Nol Yr Test 110724,object_A,moved
Nol Z10 Test 110724,object_B,moved
Nol Z10 Test 110724,object_A,non-moved
Nol Z1r Test 110724,object_B,non-moved
Nol Z1r Test 110724,object_A,moved
Nol Z20 Test 110724,object_B,non-moved
Nol Z20 Test 110724,object_A,moved
Nol Z2r Test 110724,object_B,non-moved
Nol Z2r Test 110724,object_A,moved
NOL_A1R_TEST_070324 (1),object_B,moved
NOL_A1R_TEST_070324 (1),object_A,non-moved
